code2	country	date	type	count	lockdown	population
DK	Denmark	2020-06-20	Deaths	600	2020-03-11	5837213
DK	Denmark	2020-06-21	Confirmed	12391	2020-03-11	5837213
DK	Denmark	2020-06-21	Deaths	600	2020-03-11	5837213
DK	Denmark	2020-06-22	Confirmed	12527	2020-03-11	5837213
DK	Denmark	2020-06-22	Deaths	602	2020-03-11	5837213
DK	Denmark	2020-06-23	Confirmed	12561	2020-03-11	5837213
DK	Denmark	2020-06-23	Deaths	603	2020-03-11	5837213
DK	Denmark	2020-06-24	Confirmed	12615	2020-03-11	5837213
DK	Denmark	2020-06-24	Deaths	603	2020-03-11	5837213
DK	Denmark	2020-06-25	Confirmed	12636	2020-03-11	5837213
DK	Denmark	2020-06-25	Deaths	603	2020-03-11	5837213
DK	Denmark	2020-06-26	Confirmed	12675	2020-03-11	5837213
DK	Denmark	2020-06-26	Deaths	604	2020-03-11	5837213
DK	Denmark	2020-06-27	Confirmed	12675	2020-03-11	5837213
DK	Denmark	2020-06-27	Deaths	604	2020-03-11	5837213
DK	Denmark	2020-06-28	Confirmed	12675	2020-03-11	5837213
DK	Denmark	2020-06-28	Deaths	604	2020-03-11	5837213
DK	Denmark	2020-06-29	Confirmed	12751	2020-03-11	5837213
DK	Denmark	2020-06-29	Deaths	605	2020-03-11	5837213
DK	Denmark	2020-06-30	Confirmed	12768	2020-03-11	5837213
DK	Denmark	2020-06-30	Deaths	605	2020-03-11	5837213
DK	Denmark	2020-07-01	Confirmed	12794	2020-03-11	5837213
DK	Denmark	2020-07-01	Deaths	606	2020-03-11	5837213
DK	Denmark	2020-07-02	Confirmed	12815	2020-03-11	5837213
DK	Denmark	2020-07-02	Deaths	606	2020-03-11	5837213
DK	Denmark	2020-07-03	Confirmed	12832	2020-03-11	5837213
DK	Denmark	2020-07-03	Deaths	606	2020-03-11	5837213
DK	Denmark	2020-07-04	Confirmed	12832	2020-03-11	5837213
DK	Denmark	2020-07-04	Deaths	606	2020-03-11	5837213
DK	Denmark	2020-07-05	Confirmed	12832	2020-03-11	5837213
DK	Denmark	2020-07-05	Deaths	606	2020-03-11	5837213
DK	Denmark	2020-07-06	Confirmed	12878	2020-03-11	5837213
DK	Denmark	2020-07-06	Deaths	607	2020-03-11	5837213
DK	Denmark	2020-07-07	Confirmed	12888	2020-03-11	5837213
DK	Denmark	2020-07-07	Deaths	609	2020-03-11	5837213
DK	Denmark	2020-07-08	Confirmed	12900	2020-03-11	5837213
DK	Denmark	2020-07-08	Deaths	609	2020-03-11	5837213
DK	Denmark	2020-07-09	Confirmed	12916	2020-03-11	5837213
DK	Denmark	2020-07-09	Deaths	609	2020-03-11	5837213
DK	Denmark	2020-07-10	Confirmed	12946	2020-03-11	5837213
DK	Denmark	2020-07-10	Deaths	609	2020-03-11	5837213
DK	Denmark	2020-07-11	Confirmed	12946	2020-03-11	5837213
DK	Denmark	2020-07-11	Deaths	609	2020-03-11	5837213
DK	Denmark	2020-07-12	Confirmed	12946	2020-03-11	5837213
DK	Denmark	2020-07-12	Deaths	609	2020-03-11	5837213
DK	Denmark	2020-07-13	Confirmed	13037	2020-03-11	5837213
DK	Denmark	2020-07-13	Deaths	610	2020-03-11	5837213
DK	Denmark	2020-07-14	Confirmed	13061	2020-03-11	5837213
DK	Denmark	2020-07-14	Deaths	610	2020-03-11	5837213
DK	Denmark	2020-07-15	Confirmed	13092	2020-03-11	5837213
DK	Denmark	2020-07-15	Deaths	610	2020-03-11	5837213
DK	Denmark	2020-07-16	Confirmed	13124	2020-03-11	5837213
DK	Denmark	2020-07-16	Deaths	610	2020-03-11	5837213
DK	Denmark	2020-07-17	Confirmed	13173	2020-03-11	5837213
DK	Denmark	2020-07-17	Deaths	611	2020-03-11	5837213
DK	Denmark	2020-07-18	Confirmed	13173	2020-03-11	5837213
DK	Denmark	2020-07-18	Deaths	611	2020-03-11	5837213
DK	Denmark	2020-07-19	Confirmed	13173	2020-03-11	5837213
DK	Denmark	2020-07-19	Deaths	611	2020-03-11	5837213
DK	Denmark	2020-07-20	Confirmed	13262	2020-03-11	5837213
DK	Denmark	2020-07-20	Deaths	611	2020-03-11	5837213
DK	Denmark	2020-07-21	Confirmed	13302	2020-03-11	5837213
DK	Denmark	2020-07-21	Deaths	611	2020-03-11	5837213
DK	Denmark	2020-07-22	Confirmed	13350	2020-03-11	5837213
DK	Denmark	2020-07-22	Deaths	611	2020-03-11	5837213
DK	Denmark	2020-07-23	Confirmed	13390	2020-03-11	5837213
DK	Denmark	2020-07-23	Deaths	612	2020-03-11	5837213
DK	Denmark	2020-07-24	Confirmed	13438	2020-03-11	5837213
DK	Denmark	2020-07-24	Deaths	613	2020-03-11	5837213
DK	Denmark	2020-07-25	Confirmed	13438	2020-03-11	5837213
DK	Denmark	2020-07-25	Deaths	613	2020-03-11	5837213
DK	Denmark	2020-07-26	Confirmed	13438	2020-03-11	5837213
DK	Denmark	2020-07-26	Deaths	613	2020-03-11	5837213
DK	Denmark	2020-07-27	Confirmed	13547	2020-03-11	5837213
DK	Denmark	2020-07-27	Deaths	613	2020-03-11	5837213
DK	Denmark	2020-07-28	Confirmed	13577	2020-03-11	5837213
DK	Denmark	2020-07-28	Deaths	613	2020-03-11	5837213
DK	Denmark	2020-07-29	Confirmed	13634	2020-03-11	5837213
DK	Denmark	2020-07-29	Deaths	614	2020-03-11	5837213
DK	Denmark	2020-07-30	Confirmed	13725	2020-03-11	5837213
DK	Denmark	2020-07-30	Deaths	615	2020-03-11	5837213
DK	Denmark	2020-07-31	Confirmed	13789	2020-03-11	5837213
DK	Denmark	2020-07-31	Deaths	615	2020-03-11	5837213
DK	Denmark	2020-08-01	Confirmed	13789	2020-03-11	5837213
DK	Denmark	2020-08-01	Deaths	615	2020-03-11	5837213
DK	Denmark	2020-08-02	Confirmed	13789	2020-03-11	5837213
DK	Denmark	2020-08-02	Deaths	615	2020-03-11	5837213
DK	Denmark	2020-08-03	Confirmed	13996	2020-03-11	5837213
DK	Denmark	2020-08-03	Deaths	616	2020-03-11	5837213
DK	Denmark	2020-08-04	Confirmed	14073	2020-03-11	5837213
DK	Denmark	2020-08-04	Deaths	616	2020-03-11	5837213
DK	Denmark	2020-08-05	Confirmed	14185	2020-03-11	5837213
DK	Denmark	2020-08-05	Deaths	616	2020-03-11	5837213
DK	Denmark	2020-08-06	Confirmed	14306	2020-03-11	5837213
DK	Denmark	2020-08-06	Deaths	617	2020-03-11	5837213
DK	Denmark	2020-08-07	Confirmed	14442	2020-03-11	5837213
DK	Denmark	2020-08-07	Deaths	617	2020-03-11	5837213
DK	Denmark	2020-08-08	Confirmed	14442	2020-03-11	5837213
DK	Denmark	2020-08-08	Deaths	617	2020-03-11	5837213
DK	Denmark	2020-08-09	Confirmed	14442	2020-03-11	5837213
DK	Denmark	2020-08-09	Deaths	617	2020-03-11	5837213
DK	Denmark	2020-08-10	Confirmed	14815	2020-03-11	5837213
DK	Denmark	2020-08-10	Deaths	620	2020-03-11	5837213
DK	Denmark	2020-08-11	Confirmed	14959	2020-03-11	5837213
DK	Denmark	2020-08-11	Deaths	621	2020-03-11	5837213
DK	Denmark	2020-08-12	Confirmed	15070	2020-03-11	5837213
DK	Denmark	2020-08-12	Deaths	621	2020-03-11	5837213
DK	Denmark	2020-08-13	Confirmed	15214	2020-03-11	5837213
DK	Denmark	2020-08-13	Deaths	621	2020-03-11	5837213
